profile,recovery_rate_mean,recovery_rate_std,recovered_revenue_mean,recovered_revenue_std,recovered_mean,stops_mean,policy_overrides
Current,0.501,0.012057155551787506,1524656.012,47326.7329806037,1002.0,0.0,651
High Cost,0.5008,0.011766477807738365,1524535.262,46851.22661346789,1001.6,0.0,651
Low Cost,0.5016999999999999,0.011686530708469466,1526252.364,47369.46226665902,1003.4,0.0,652
Probability Maximizing,0.5018,0.011600646533706639,1526293.142,47390.4631597442,1003.6,0.0,653
Recovery Focused,0.5018,0.011600646533706639,1526293.142,47390.4631597442,1003.6,0.0,652
